"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"2",3.97276121382021,0,3.97276121382021,3.97276121382021,0,0,0,0,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021
"3",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"4",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"5",3.97276121382021,0,3.97276121382021,3.97276121382021,0,0,0,0,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021
"6",3.97276121382021,0,3.97276121382021,3.97276121382021,0,0,0,0,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021
"7",3.97276121382021,0,3.97276121382021,3.97276121382021,0,0,0,0,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021
"8",3.97276121382021,0,3.97276121382021,3.97276121382021,0,0,0,0,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021
"9",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"10",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"11",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"12",3.97276121382021,0,3.97276121382021,3.97276121382021,0,0,0,0,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021
"13",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"14",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"15",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"16",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"17",3.97276121382021,0,3.97276121382021,3.97276121382021,0,0,0,0,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021
"18",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"19",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"20",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
"21",0,3.97276121382021,0,0,3.97276121382021,3.97276121382021,3.97276121382021,3.97276121382021,0,0,0,3.97276121382021,0,0,0,0,3.97276121382021,0,0,0,0
