"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,7.17542363103197,5.74529012836567,5.74529012836567,4.5965422500711,7.17542363103197,5.74529012836567,4.5965422500711,0,1.05882963046985,5.74529012836567,7.17542363103197,0,5.74529012836567,2.66608126471508,5.74529012836567,5.74529012836567,1.05882963046985,2.00889402417256,0,5.74529012836567
"2",7.17542363103197,0,6.58841366529375,6.58841366529375,3.55786657910533,0,6.58841366529375,3.55786657910533,7.17542363103197,6.11659400056213,6.58841366529375,0,7.17542363103197,6.58841366529375,6.82448466546213,6.58841366529375,6.58841366529375,6.11659400056213,5.72854189950247,7.17542363103197,6.58841366529375
"3",5.74529012836567,6.58841366529375,0,0,5.55191038391365,6.58841366529375,0,5.55191038391365,5.74529012836567,4.68646049789582,0,6.58841366529375,5.74529012836567,0,5.39435116279582,0,0,4.68646049789582,3.73732790166514,5.74529012836567,0
"4",5.74529012836567,6.58841366529375,0,0,5.55191038391365,6.58841366529375,0,5.55191038391365,5.74529012836567,4.68646049789582,0,6.58841366529375,5.74529012836567,0,5.39435116279582,0,0,4.68646049789582,3.73732790166514,5.74529012836567,0
"5",4.5965422500711,3.55786657910533,5.55191038391365,5.55191038391365,0,3.55786657910533,5.55191038391365,0,4.5965422500711,3.53771261960126,5.55191038391365,3.55786657910533,4.5965422500711,5.55191038391365,3.69847351507785,5.55191038391365,5.55191038391365,3.53771261960126,3.71203876759044,4.5965422500711,5.55191038391365
"6",7.17542363103197,0,6.58841366529375,6.58841366529375,3.55786657910533,0,6.58841366529375,3.55786657910533,7.17542363103197,6.11659400056213,6.58841366529375,0,7.17542363103197,6.58841366529375,6.82448466546213,6.58841366529375,6.58841366529375,6.11659400056213,5.72854189950247,7.17542363103197,6.58841366529375
"7",5.74529012836567,6.58841366529375,0,0,5.55191038391365,6.58841366529375,0,5.55191038391365,5.74529012836567,4.68646049789582,0,6.58841366529375,5.74529012836567,0,5.39435116279582,0,0,4.68646049789582,3.73732790166514,5.74529012836567,0
"8",4.5965422500711,3.55786657910533,5.55191038391365,5.55191038391365,0,3.55786657910533,5.55191038391365,0,4.5965422500711,3.53771261960126,5.55191038391365,3.55786657910533,4.5965422500711,5.55191038391365,3.69847351507785,5.55191038391365,5.55191038391365,3.53771261960126,3.71203876759044,4.5965422500711,5.55191038391365
"9",0,7.17542363103197,5.74529012836567,5.74529012836567,4.5965422500711,7.17542363103197,5.74529012836567,4.5965422500711,0,1.05882963046985,5.74529012836567,7.17542363103197,0,5.74529012836567,2.66608126471508,5.74529012836567,5.74529012836567,1.05882963046985,2.00889402417256,0,5.74529012836567
"10",1.05882963046985,6.11659400056213,4.68646049789582,4.68646049789582,3.53771261960126,6.11659400056213,4.68646049789582,3.53771261960126,1.05882963046985,0,4.68646049789582,6.11659400056213,1.05882963046985,4.68646049789582,1.60725163424524,4.68646049789582,4.68646049789582,0,0.950064393702716,1.05882963046985,4.68646049789582
"11",5.74529012836567,6.58841366529375,0,0,5.55191038391365,6.58841366529375,0,5.55191038391365,5.74529012836567,4.68646049789582,0,6.58841366529375,5.74529012836567,0,5.39435116279582,0,0,4.68646049789582,3.73732790166514,5.74529012836567,0
"12",7.17542363103197,0,6.58841366529375,6.58841366529375,3.55786657910533,0,6.58841366529375,3.55786657910533,7.17542363103197,6.11659400056213,6.58841366529375,0,7.17542363103197,6.58841366529375,6.82448466546213,6.58841366529375,6.58841366529375,6.11659400056213,5.72854189950247,7.17542363103197,6.58841366529375
"13",0,7.17542363103197,5.74529012836567,5.74529012836567,4.5965422500711,7.17542363103197,5.74529012836567,4.5965422500711,0,1.05882963046985,5.74529012836567,7.17542363103197,0,5.74529012836567,2.66608126471508,5.74529012836567,5.74529012836567,1.05882963046985,2.00889402417256,0,5.74529012836567
"14",5.74529012836567,6.58841366529375,0,0,5.55191038391365,6.58841366529375,0,5.55191038391365,5.74529012836567,4.68646049789582,0,6.58841366529375,5.74529012836567,0,5.39435116279582,0,0,4.68646049789582,3.73732790166514,5.74529012836567,0
"15",2.66608126471508,6.82448466546213,5.39435116279582,5.39435116279582,3.69847351507785,6.82448466546213,5.39435116279582,3.69847351507785,2.66608126471508,1.60725163424524,5.39435116279582,6.82448466546213,2.66608126471508,5.39435116279582,0,5.39435116279582,5.39435116279582,1.60725163424524,2.12586520405371,2.66608126471508,5.39435116279582
"16",5.74529012836567,6.58841366529375,0,0,5.55191038391365,6.58841366529375,0,5.55191038391365,5.74529012836567,4.68646049789582,0,6.58841366529375,5.74529012836567,0,5.39435116279582,0,0,4.68646049789582,3.73732790166514,5.74529012836567,0
"17",5.74529012836567,6.58841366529375,0,0,5.55191038391365,6.58841366529375,0,5.55191038391365,5.74529012836567,4.68646049789582,0,6.58841366529375,5.74529012836567,0,5.39435116279582,0,0,4.68646049789582,3.73732790166514,5.74529012836567,0
"18",1.05882963046985,6.11659400056213,4.68646049789582,4.68646049789582,3.53771261960126,6.11659400056213,4.68646049789582,3.53771261960126,1.05882963046985,0,4.68646049789582,6.11659400056213,1.05882963046985,4.68646049789582,1.60725163424524,4.68646049789582,4.68646049789582,0,0.950064393702716,1.05882963046985,4.68646049789582
"19",2.00889402417256,5.72854189950247,3.73732790166514,3.73732790166514,3.71203876759044,5.72854189950247,3.73732790166514,3.71203876759044,2.00889402417256,0.950064393702716,3.73732790166514,5.72854189950247,2.00889402417256,3.73732790166514,2.12586520405371,3.73732790166514,3.73732790166514,0.950064393702716,0,2.00889402417256,3.73732790166514
"20",0,7.17542363103197,5.74529012836567,5.74529012836567,4.5965422500711,7.17542363103197,5.74529012836567,4.5965422500711,0,1.05882963046985,5.74529012836567,7.17542363103197,0,5.74529012836567,2.66608126471508,5.74529012836567,5.74529012836567,1.05882963046985,2.00889402417256,0,5.74529012836567
