"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,8.01607543685461,8.01607543685461,8.01607543685461,7.3698233849519,8.01607543685461,8.01607543685461,7.3698233849519,0,3.36678144369546,8.01607543685461,8.01607543685461,0,8.01607543685461,6.41326424862013,8.01607543685461,8.01607543685461,3.36678144369546,3.36678144369546,0,8.01607543685461
"2",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"3",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"4",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"5",7.3698233849519,3.49936270629472,3.49936270629472,3.49936270629472,0,3.49936270629472,3.49936270629472,0,7.3698233849519,4.00304194125644,3.49936270629472,3.49936270629472,7.3698233849519,3.49936270629472,5.9447078982303,3.49936270629472,3.49936270629472,4.00304194125644,4.00304194125644,7.3698233849519,3.49936270629472
"6",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"7",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"8",7.3698233849519,3.49936270629472,3.49936270629472,3.49936270629472,0,3.49936270629472,3.49936270629472,0,7.3698233849519,4.00304194125644,3.49936270629472,3.49936270629472,7.3698233849519,3.49936270629472,5.9447078982303,3.49936270629472,3.49936270629472,4.00304194125644,4.00304194125644,7.3698233849519,3.49936270629472
"9",0,8.01607543685461,8.01607543685461,8.01607543685461,7.3698233849519,8.01607543685461,8.01607543685461,7.3698233849519,0,3.36678144369546,8.01607543685461,8.01607543685461,0,8.01607543685461,6.41326424862013,8.01607543685461,8.01607543685461,3.36678144369546,3.36678144369546,0,8.01607543685461
"10",3.36678144369546,4.64929399315915,4.64929399315915,4.64929399315915,4.00304194125644,4.64929399315915,4.64929399315915,4.00304194125644,3.36678144369546,0,4.64929399315915,4.64929399315915,3.36678144369546,4.64929399315915,3.04648280492467,4.64929399315915,4.64929399315915,0,0,3.36678144369546,4.64929399315915
"11",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"12",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"13",0,8.01607543685461,8.01607543685461,8.01607543685461,7.3698233849519,8.01607543685461,8.01607543685461,7.3698233849519,0,3.36678144369546,8.01607543685461,8.01607543685461,0,8.01607543685461,6.41326424862013,8.01607543685461,8.01607543685461,3.36678144369546,3.36678144369546,0,8.01607543685461
"14",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"15",6.41326424862013,7.69577679808382,7.69577679808382,7.69577679808382,5.9447078982303,7.69577679808382,7.69577679808382,5.9447078982303,6.41326424862013,3.04648280492467,7.69577679808382,7.69577679808382,6.41326424862013,7.69577679808382,0,7.69577679808382,7.69577679808382,3.04648280492467,3.04648280492467,6.41326424862013,7.69577679808382
"16",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"17",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
"18",3.36678144369546,4.64929399315915,4.64929399315915,4.64929399315915,4.00304194125644,4.64929399315915,4.64929399315915,4.00304194125644,3.36678144369546,0,4.64929399315915,4.64929399315915,3.36678144369546,4.64929399315915,3.04648280492467,4.64929399315915,4.64929399315915,0,0,3.36678144369546,4.64929399315915
"19",3.36678144369546,4.64929399315915,4.64929399315915,4.64929399315915,4.00304194125644,4.64929399315915,4.64929399315915,4.00304194125644,3.36678144369546,0,4.64929399315915,4.64929399315915,3.36678144369546,4.64929399315915,3.04648280492467,4.64929399315915,4.64929399315915,0,0,3.36678144369546,4.64929399315915
"20",0,8.01607543685461,8.01607543685461,8.01607543685461,7.3698233849519,8.01607543685461,8.01607543685461,7.3698233849519,0,3.36678144369546,8.01607543685461,8.01607543685461,0,8.01607543685461,6.41326424862013,8.01607543685461,8.01607543685461,3.36678144369546,3.36678144369546,0,8.01607543685461
"21",8.01607543685461,0,0,0,3.49936270629472,0,0,3.49936270629472,8.01607543685461,4.64929399315915,0,0,8.01607543685461,0,7.69577679808382,0,0,4.64929399315915,4.64929399315915,8.01607543685461,0
