"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,48.8591696552989,32.6908258746214,32.6908258746214,69.4444341124541,64.782756727363,48.8591696552989,69.4444341124541,0,0,32.6908258746214,48.8591696552989,0,32.6908258746214,37.8581101769596,32.6908258746214,48.8591696552989,0,23.37644694861,16.3137911205469,32.6908258746214
"2",48.8591696552989,0,16.1683437806775,16.1683437806775,20.8349273275755,15.9235870720641,0,20.8349273275755,48.8591696552989,48.8591696552989,16.1683437806775,0,48.8591696552989,16.1683437806775,86.7172798322584,16.1683437806775,0,48.8591696552989,39.3691652557695,32.545378534752,16.1683437806775
"3",32.6908258746214,16.1683437806775,0,0,36.7536082378328,32.0919308527416,16.1683437806775,36.7536082378328,32.6908258746214,32.6908258746214,0,16.1683437806775,32.6908258746214,0,70.5489360515809,0,16.1683437806775,32.6908258746214,23.4682741402631,16.3770347540745,0
"4",32.6908258746214,16.1683437806775,0,0,36.7536082378328,32.0919308527416,16.1683437806775,36.7536082378328,32.6908258746214,32.6908258746214,0,16.1683437806775,32.6908258746214,0,70.5489360515809,0,16.1683437806775,32.6908258746214,23.4682741402631,16.3770347540745,0
"5",69.4444341124541,20.8349273275755,36.7536082378328,36.7536082378328,0,14.88324130445,20.8349273275755,0,69.4444341124541,69.4444341124541,36.7536082378328,20.8349273275755,69.4444341124541,36.7536082378328,84.7903246223925,36.7536082378328,20.8349273275755,69.4444341124541,46.7327978109816,53.1306429919073,36.7536082378328
"6",64.782756727363,15.9235870720641,32.0919308527416,32.0919308527416,14.88324130445,0,15.9235870720641,14.88324130445,64.782756727363,64.782756727363,32.0919308527416,15.9235870720641,64.782756727363,32.0919308527416,94.2495944750925,32.0919308527416,15.9235870720641,64.782756727363,54.3165552019769,48.4689656068161,32.0919308527416
"7",48.8591696552989,0,16.1683437806775,16.1683437806775,20.8349273275755,15.9235870720641,0,20.8349273275755,48.8591696552989,48.8591696552989,16.1683437806775,0,48.8591696552989,16.1683437806775,86.7172798322584,16.1683437806775,0,48.8591696552989,39.3691652557695,32.545378534752,16.1683437806775
"8",69.4444341124541,20.8349273275755,36.7536082378328,36.7536082378328,0,14.88324130445,20.8349273275755,0,69.4444341124541,69.4444341124541,36.7536082378328,20.8349273275755,69.4444341124541,36.7536082378328,84.7903246223925,36.7536082378328,20.8349273275755,69.4444341124541,46.7327978109816,53.1306429919073,36.7536082378328
"9",0,48.8591696552989,32.6908258746214,32.6908258746214,69.4444341124541,64.782756727363,48.8591696552989,69.4444341124541,0,0,32.6908258746214,48.8591696552989,0,32.6908258746214,37.8581101769596,32.6908258746214,48.8591696552989,0,23.37644694861,16.3137911205469,32.6908258746214
"10",0,48.8591696552989,32.6908258746214,32.6908258746214,69.4444341124541,64.782756727363,48.8591696552989,69.4444341124541,0,0,32.6908258746214,48.8591696552989,0,32.6908258746214,37.8581101769596,32.6908258746214,48.8591696552989,0,23.37644694861,16.3137911205469,32.6908258746214
"11",32.6908258746214,16.1683437806775,0,0,36.7536082378328,32.0919308527416,16.1683437806775,36.7536082378328,32.6908258746214,32.6908258746214,0,16.1683437806775,32.6908258746214,0,70.5489360515809,0,16.1683437806775,32.6908258746214,23.4682741402631,16.3770347540745,0
"12",48.8591696552989,0,16.1683437806775,16.1683437806775,20.8349273275755,15.9235870720641,0,20.8349273275755,48.8591696552989,48.8591696552989,16.1683437806775,0,48.8591696552989,16.1683437806775,86.7172798322584,16.1683437806775,0,48.8591696552989,39.3691652557695,32.545378534752,16.1683437806775
"13",0,48.8591696552989,32.6908258746214,32.6908258746214,69.4444341124541,64.782756727363,48.8591696552989,69.4444341124541,0,0,32.6908258746214,48.8591696552989,0,32.6908258746214,37.8581101769596,32.6908258746214,48.8591696552989,0,23.37644694861,16.3137911205469,32.6908258746214
"14",32.6908258746214,16.1683437806775,0,0,36.7536082378328,32.0919308527416,16.1683437806775,36.7536082378328,32.6908258746214,32.6908258746214,0,16.1683437806775,32.6908258746214,0,70.5489360515809,0,16.1683437806775,32.6908258746214,23.4682741402631,16.3770347540745,0
