"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,45.3216361612924,0,64.6454269533031,45.3216361612924,0,64.6454269533031,28.3826671607203,64.6454269533031,32.8106045675959,77.4191032967244,64.6454269533031,32.8106045675959,0,64.6454269533031,64.6454269533031,64.6454269533031,45.3216361612924,32.8106045675959,45.3216361612924
"2",45.3216361612924,0,45.3216361612924,44.004225471796,0,45.3216361612924,44.004225471796,27.7983085293458,44.004225471796,32.0321938515495,32.097467135432,44.004225471796,32.0321938515495,45.3216361612924,44.004225471796,44.004225471796,44.004225471796,0,32.0321938515495,0
"3",0,45.3216361612924,0,64.6454269533031,45.3216361612924,0,64.6454269533031,28.3826671607203,64.6454269533031,32.8106045675959,77.4191032967244,64.6454269533031,32.8106045675959,0,64.6454269533031,64.6454269533031,64.6454269533031,45.3216361612924,32.8106045675959,45.3216361612924
"4",64.6454269533031,44.004225471796,64.6454269533031,0,44.004225471796,64.6454269533031,0,71.8025340011418,0,31.8348223857072,31.8992929530192,0,31.8348223857072,64.6454269533031,0,0,0,44.004225471796,31.8348223857072,44.004225471796
"5",45.3216361612924,0,45.3216361612924,44.004225471796,0,45.3216361612924,44.004225471796,27.7983085293458,44.004225471796,32.0321938515495,32.097467135432,44.004225471796,32.0321938515495,45.3216361612924,44.004225471796,44.004225471796,44.004225471796,0,32.0321938515495,0
"6",0,45.3216361612924,0,64.6454269533031,45.3216361612924,0,64.6454269533031,28.3826671607203,64.6454269533031,32.8106045675959,77.4191032967244,64.6454269533031,32.8106045675959,0,64.6454269533031,64.6454269533031,64.6454269533031,45.3216361612924,32.8106045675959,45.3216361612924
"7",64.6454269533031,44.004225471796,64.6454269533031,0,44.004225471796,64.6454269533031,0,71.8025340011418,0,31.8348223857072,31.8992929530192,0,31.8348223857072,64.6454269533031,0,0,0,44.004225471796,31.8348223857072,44.004225471796
"8",28.3826671607203,27.7983085293458,28.3826671607203,71.8025340011418,27.7983085293458,28.3826671607203,71.8025340011418,0,71.8025340011418,40.122465729142,59.8957756647778,71.8025340011418,40.122465729142,28.3826671607203,71.8025340011418,71.8025340011418,71.8025340011418,27.7983085293458,40.122465729142,27.7983085293458
"9",64.6454269533031,44.004225471796,64.6454269533031,0,44.004225471796,64.6454269533031,0,71.8025340011418,0,31.8348223857072,31.8992929530192,0,31.8348223857072,64.6454269533031,0,0,0,44.004225471796,31.8348223857072,44.004225471796
"10",32.8106045675959,32.0321938515495,32.8106045675959,31.8348223857072,32.0321938515495,32.8106045675959,31.8348223857072,40.122465729142,31.8348223857072,0,46.4756664588971,31.8348223857072,0,32.8106045675959,31.8348223857072,31.8348223857072,31.8348223857072,32.0321938515495,0,32.0321938515495
"11",77.4191032967244,32.097467135432,77.4191032967244,31.8992929530192,32.097467135432,77.4191032967244,31.8992929530192,59.8957756647778,31.8992929530192,46.4756664588971,0,31.8992929530192,46.4756664588971,77.4191032967244,31.8992929530192,31.8992929530192,31.8992929530192,32.097467135432,46.4756664588971,32.097467135432
"12",64.6454269533031,44.004225471796,64.6454269533031,0,44.004225471796,64.6454269533031,0,71.8025340011418,0,31.8348223857072,31.8992929530192,0,31.8348223857072,64.6454269533031,0,0,0,44.004225471796,31.8348223857072,44.004225471796
"13",32.8106045675959,32.0321938515495,32.8106045675959,31.8348223857072,32.0321938515495,32.8106045675959,31.8348223857072,40.122465729142,31.8348223857072,0,46.4756664588971,31.8348223857072,0,32.8106045675959,31.8348223857072,31.8348223857072,31.8348223857072,32.0321938515495,0,32.0321938515495
"14",0,45.3216361612924,0,64.6454269533031,45.3216361612924,0,64.6454269533031,28.3826671607203,64.6454269533031,32.8106045675959,77.4191032967244,64.6454269533031,32.8106045675959,0,64.6454269533031,64.6454269533031,64.6454269533031,45.3216361612924,32.8106045675959,45.3216361612924
"15",64.6454269533031,44.004225471796,64.6454269533031,0,44.004225471796,64.6454269533031,0,71.8025340011418,0,31.8348223857072,31.8992929530192,0,31.8348223857072,64.6454269533031,0,0,0,44.004225471796,31.8348223857072,44.004225471796
"16",64.6454269533031,44.004225471796,64.6454269533031,0,44.004225471796,64.6454269533031,0,71.8025340011418,0,31.8348223857072,31.8992929530192,0,31.8348223857072,64.6454269533031,0,0,0,44.004225471796,31.8348223857072,44.004225471796
"17",64.6454269533031,44.004225471796,64.6454269533031,0,44.004225471796,64.6454269533031,0,71.8025340011418,0,31.8348223857072,31.8992929530192,0,31.8348223857072,64.6454269533031,0,0,0,44.004225471796,31.8348223857072,44.004225471796
"18",45.3216361612924,0,45.3216361612924,44.004225471796,0,45.3216361612924,44.004225471796,27.7983085293458,44.004225471796,32.0321938515495,32.097467135432,44.004225471796,32.0321938515495,45.3216361612924,44.004225471796,44.004225471796,44.004225471796,0,32.0321938515495,0
"19",32.8106045675959,32.0321938515495,32.8106045675959,31.8348223857072,32.0321938515495,32.8106045675959,31.8348223857072,40.122465729142,31.8348223857072,0,46.4756664588971,31.8348223857072,0,32.8106045675959,31.8348223857072,31.8348223857072,31.8348223857072,32.0321938515495,0,32.0321938515495
"20",45.3216361612924,0,45.3216361612924,44.004225471796,0,45.3216361612924,44.004225471796,27.7983085293458,44.004225471796,32.0321938515495,32.097467135432,44.004225471796,32.0321938515495,45.3216361612924,44.004225471796,44.004225471796,44.004225471796,0,32.0321938515495,0
