"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,5.47718618126661,0,5.940863878956,5.47718618126661,0,5.940863878956,4.53574446100839,5.940863878956,2.19207736561687,5.36100812125421,5.940863878956,2.19207736561687,0,5.940863878956,5.940863878956,5.940863878956,5.47718618126661,2.19207736561687,5.47718618126661
"2",5.47718618126661,0,5.47718618126661,7.03389532898887,0,5.47718618126661,7.03389532898887,8.57284589423553,7.03389532898887,3.28510881564974,4.04024520058467,7.03389532898887,3.28510881564974,5.47718618126661,7.03389532898887,7.03389532898887,7.03389532898887,0,3.28510881564974,0
"3",0,5.47718618126661,0,5.940863878956,5.47718618126661,0,5.940863878956,4.53574446100839,5.940863878956,2.19207736561687,5.36100812125421,5.940863878956,2.19207736561687,0,5.940863878956,5.940863878956,5.940863878956,5.47718618126661,2.19207736561687,5.47718618126661
"4",5.940863878956,7.03389532898887,5.940863878956,0,7.03389532898887,5.940863878956,0,9.03652359192492,0,3.74878651333913,4.7651087839152,0,3.74878651333913,5.940863878956,0,0,0,7.03389532898887,3.74878651333913,7.03389532898887
"5",5.47718618126661,0,5.47718618126661,7.03389532898887,0,5.47718618126661,7.03389532898887,8.57284589423553,7.03389532898887,3.28510881564974,4.04024520058467,7.03389532898887,3.28510881564974,5.47718618126661,7.03389532898887,7.03389532898887,7.03389532898887,0,3.28510881564974,0
"6",0,5.47718618126661,0,5.940863878956,5.47718618126661,0,5.940863878956,4.53574446100839,5.940863878956,2.19207736561687,5.36100812125421,5.940863878956,2.19207736561687,0,5.940863878956,5.940863878956,5.940863878956,5.47718618126661,2.19207736561687,5.47718618126661
"7",5.940863878956,7.03389532898887,5.940863878956,0,7.03389532898887,5.940863878956,0,9.03652359192492,0,3.74878651333913,4.7651087839152,0,3.74878651333913,5.940863878956,0,0,0,7.03389532898887,3.74878651333913,7.03389532898887
"8",4.53574446100839,8.57284589423553,4.53574446100839,9.03652359192492,8.57284589423553,4.53574446100839,9.03652359192492,0,9.03652359192492,5.28773707858578,8.45666783422313,9.03652359192492,5.28773707858578,4.53574446100839,9.03652359192492,9.03652359192492,9.03652359192492,8.57284589423553,5.28773707858578,8.57284589423553
"9",5.940863878956,7.03389532898887,5.940863878956,0,7.03389532898887,5.940863878956,0,9.03652359192492,0,3.74878651333913,4.7651087839152,0,3.74878651333913,5.940863878956,0,0,0,7.03389532898887,3.74878651333913,7.03389532898887
"10",2.19207736561687,3.28510881564974,2.19207736561687,3.74878651333913,3.28510881564974,2.19207736561687,3.74878651333913,5.28773707858578,3.74878651333913,0,3.16893075563734,3.74878651333913,0,2.19207736561687,3.74878651333913,3.74878651333913,3.74878651333913,3.28510881564974,0,3.28510881564974
"11",5.36100812125421,4.04024520058467,5.36100812125421,4.7651087839152,4.04024520058467,5.36100812125421,4.7651087839152,8.45666783422313,4.7651087839152,3.16893075563734,0,4.7651087839152,3.16893075563734,5.36100812125421,4.7651087839152,4.7651087839152,4.7651087839152,4.04024520058467,3.16893075563734,4.04024520058467
"12",5.940863878956,7.03389532898887,5.940863878956,0,7.03389532898887,5.940863878956,0,9.03652359192492,0,3.74878651333913,4.7651087839152,0,3.74878651333913,5.940863878956,0,0,0,7.03389532898887,3.74878651333913,7.03389532898887
"13",2.19207736561687,3.28510881564974,2.19207736561687,3.74878651333913,3.28510881564974,2.19207736561687,3.74878651333913,5.28773707858578,3.74878651333913,0,3.16893075563734,3.74878651333913,0,2.19207736561687,3.74878651333913,3.74878651333913,3.74878651333913,3.28510881564974,0,3.28510881564974
"14",0,5.47718618126661,0,5.940863878956,5.47718618126661,0,5.940863878956,4.53574446100839,5.940863878956,2.19207736561687,5.36100812125421,5.940863878956,2.19207736561687,0,5.940863878956,5.940863878956,5.940863878956,5.47718618126661,2.19207736561687,5.47718618126661
"15",5.940863878956,7.03389532898887,5.940863878956,0,7.03389532898887,5.940863878956,0,9.03652359192492,0,3.74878651333913,4.7651087839152,0,3.74878651333913,5.940863878956,0,0,0,7.03389532898887,3.74878651333913,7.03389532898887
"16",5.940863878956,7.03389532898887,5.940863878956,0,7.03389532898887,5.940863878956,0,9.03652359192492,0,3.74878651333913,4.7651087839152,0,3.74878651333913,5.940863878956,0,0,0,7.03389532898887,3.74878651333913,7.03389532898887
"17",5.940863878956,7.03389532898887,5.940863878956,0,7.03389532898887,5.940863878956,0,9.03652359192492,0,3.74878651333913,4.7651087839152,0,3.74878651333913,5.940863878956,0,0,0,7.03389532898887,3.74878651333913,7.03389532898887
"18",5.47718618126661,0,5.47718618126661,7.03389532898887,0,5.47718618126661,7.03389532898887,8.57284589423553,7.03389532898887,3.28510881564974,4.04024520058467,7.03389532898887,3.28510881564974,5.47718618126661,7.03389532898887,7.03389532898887,7.03389532898887,0,3.28510881564974,0
"19",2.19207736561687,3.28510881564974,2.19207736561687,3.74878651333913,3.28510881564974,2.19207736561687,3.74878651333913,5.28773707858578,3.74878651333913,0,3.16893075563734,3.74878651333913,0,2.19207736561687,3.74878651333913,3.74878651333913,3.74878651333913,3.28510881564974,0,3.28510881564974
"20",5.47718618126661,0,5.47718618126661,7.03389532898887,0,5.47718618126661,7.03389532898887,8.57284589423553,7.03389532898887,3.28510881564974,4.04024520058467,7.03389532898887,3.28510881564974,5.47718618126661,7.03389532898887,7.03389532898887,7.03389532898887,0,3.28510881564974,0
