"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0.539705408404156,0,0.746626637225562,0.539705408404156,0,0.746626637225562,0.35665045841902,0.746626637225562,0.381859421220524,0.990905586511868,0.746626637225562,0.381859421220524,0,0.746626637225562,0.746626637225562,0.746626637225562,0.539705408404156,0.381859421220524,0.539705408404156
"2",0.539705408404156,0,0.539705408404156,0.51556184699268,0,0.539705408404156,0.51556184699268,0.372470973013253,0.51556184699268,0.400052486143779,0.451200178107712,0.51556184699268,0.400052486143779,0.539705408404156,0.51556184699268,0.51556184699268,0.51556184699268,0,0.400052486143779,0
"3",0,0.539705408404156,0,0.746626637225562,0.539705408404156,0,0.746626637225562,0.35665045841902,0.746626637225562,0.381859421220524,0.990905586511868,0.746626637225562,0.381859421220524,0,0.746626637225562,0.746626637225562,0.746626637225562,0.539705408404156,0.381859421220524,0.539705408404156
"4",0.746626637225562,0.51556184699268,0.746626637225562,0,0.51556184699268,0.746626637225562,0,0.888032820005933,0,0.364767216005038,0.406816020272922,0,0.364767216005038,0.746626637225562,0,0,0,0.51556184699268,0.364767216005038,0.51556184699268
"5",0.539705408404156,0,0.539705408404156,0.51556184699268,0,0.539705408404156,0.51556184699268,0.372470973013253,0.51556184699268,0.400052486143779,0.451200178107712,0.51556184699268,0.400052486143779,0.539705408404156,0.51556184699268,0.51556184699268,0.51556184699268,0,0.400052486143779,0
"6",0,0.539705408404156,0,0.746626637225562,0.539705408404156,0,0.746626637225562,0.35665045841902,0.746626637225562,0.381859421220524,0.990905586511868,0.746626637225562,0.381859421220524,0,0.746626637225562,0.746626637225562,0.746626637225562,0.539705408404156,0.381859421220524,0.539705408404156
"7",0.746626637225562,0.51556184699268,0.746626637225562,0,0.51556184699268,0.746626637225562,0,0.888032820005933,0,0.364767216005038,0.406816020272922,0,0.364767216005038,0.746626637225562,0,0,0,0.51556184699268,0.364767216005038,0.51556184699268
"8",0.35665045841902,0.372470973013253,0.35665045841902,0.888032820005933,0.372470973013253,0.35665045841902,0.888032820005933,0,0.888032820005933,0.527063432288865,0.823671151120965,0.888032820005933,0.527063432288865,0.35665045841902,0.888032820005933,0.888032820005933,0.888032820005933,0.372470973013253,0.527063432288865,0.372470973013253
"9",0.746626637225562,0.51556184699268,0.746626637225562,0,0.51556184699268,0.746626637225562,0,0.888032820005933,0,0.364767216005038,0.406816020272922,0,0.364767216005038,0.746626637225562,0,0,0,0.51556184699268,0.364767216005038,0.51556184699268
"10",0.381859421220524,0.400052486143779,0.381859421220524,0.364767216005038,0.400052486143779,0.381859421220524,0.364767216005038,0.527063432288865,0.364767216005038,0,0.63854826543449,0.364767216005038,0,0.381859421220524,0.364767216005038,0.364767216005038,0.364767216005038,0.400052486143779,0,0.400052486143779
"11",0.990905586511868,0.451200178107712,0.990905586511868,0.406816020272922,0.451200178107712,0.990905586511868,0.406816020272922,0.823671151120965,0.406816020272922,0.63854826543449,0,0.406816020272922,0.63854826543449,0.990905586511868,0.406816020272922,0.406816020272922,0.406816020272922,0.451200178107712,0.63854826543449,0.451200178107712
"12",0.746626637225562,0.51556184699268,0.746626637225562,0,0.51556184699268,0.746626637225562,0,0.888032820005933,0,0.364767216005038,0.406816020272922,0,0.364767216005038,0.746626637225562,0,0,0,0.51556184699268,0.364767216005038,0.51556184699268
"13",0.381859421220524,0.400052486143779,0.381859421220524,0.364767216005038,0.400052486143779,0.381859421220524,0.364767216005038,0.527063432288865,0.364767216005038,0,0.63854826543449,0.364767216005038,0,0.381859421220524,0.364767216005038,0.364767216005038,0.364767216005038,0.400052486143779,0,0.400052486143779
"14",0,0.539705408404156,0,0.746626637225562,0.539705408404156,0,0.746626637225562,0.35665045841902,0.746626637225562,0.381859421220524,0.990905586511868,0.746626637225562,0.381859421220524,0,0.746626637225562,0.746626637225562,0.746626637225562,0.539705408404156,0.381859421220524,0.539705408404156
"15",0.746626637225562,0.51556184699268,0.746626637225562,0,0.51556184699268,0.746626637225562,0,0.888032820005933,0,0.364767216005038,0.406816020272922,0,0.364767216005038,0.746626637225562,0,0,0,0.51556184699268,0.364767216005038,0.51556184699268
"16",0.746626637225562,0.51556184699268,0.746626637225562,0,0.51556184699268,0.746626637225562,0,0.888032820005933,0,0.364767216005038,0.406816020272922,0,0.364767216005038,0.746626637225562,0,0,0,0.51556184699268,0.364767216005038,0.51556184699268
"17",0.746626637225562,0.51556184699268,0.746626637225562,0,0.51556184699268,0.746626637225562,0,0.888032820005933,0,0.364767216005038,0.406816020272922,0,0.364767216005038,0.746626637225562,0,0,0,0.51556184699268,0.364767216005038,0.51556184699268
"18",0.539705408404156,0,0.539705408404156,0.51556184699268,0,0.539705408404156,0.51556184699268,0.372470973013253,0.51556184699268,0.400052486143779,0.451200178107712,0.51556184699268,0.400052486143779,0.539705408404156,0.51556184699268,0.51556184699268,0.51556184699268,0,0.400052486143779,0
"19",0.381859421220524,0.400052486143779,0.381859421220524,0.364767216005038,0.400052486143779,0.381859421220524,0.364767216005038,0.527063432288865,0.364767216005038,0,0.63854826543449,0.364767216005038,0,0.381859421220524,0.364767216005038,0.364767216005038,0.364767216005038,0.400052486143779,0,0.400052486143779
"20",0.539705408404156,0,0.539705408404156,0.51556184699268,0,0.539705408404156,0.51556184699268,0.372470973013253,0.51556184699268,0.400052486143779,0.451200178107712,0.51556184699268,0.400052486143779,0.539705408404156,0.51556184699268,0.51556184699268,0.51556184699268,0,0.400052486143779,0
