"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,4.36733692942407,0,9.12564288393902,6.63704066598579,0,9.12564288393902,2.66980851628393,9.12564288393902,7.34876709020407,8.05048177301089,9.12564288393902,7.07576454038565,0,9.12564288393902,9.12564288393902,9.12564288393902,4.46622578477015,7.07576454038565,5.6914867840759
"2",4.36733692942407,0,4.36733692942407,4.75830595451495,2.26970373656172,4.36733692942407,4.75830595451495,1.69752841314013,4.75830595451495,2.98143016078,4.63891610759938,4.75830595451495,5.38924241678425,4.36733692942407,4.75830595451495,4.75830595451495,4.75830595451495,1.44914438431058,5.38924241678425,2.28835935484067
"3",0,4.36733692942407,0,9.12564288393902,6.63704066598579,0,9.12564288393902,2.66980851628393,9.12564288393902,7.34876709020407,8.05048177301089,9.12564288393902,7.07576454038565,0,9.12564288393902,9.12564288393902,9.12564288393902,4.46622578477015,7.07576454038565,5.6914867840759
"4",9.12564288393902,4.75830595451495,9.12564288393902,0,2.67321486666519,9.12564288393902,0,6.45583436765509,0,1.77687579373495,1.77982519248028,0,4.8152194150373,9.12564288393902,0,0,0,4.88729807500223,4.8152194150373,4.13882018141527
"5",6.63704066598579,2.26970373656172,6.63704066598579,2.67321486666519,0,6.63704066598579,2.67321486666519,3.96723214970186,2.67321486666519,2.36398902820587,2.36921237103766,2.67321486666519,5.76216786562663,6.63704066598579,2.67321486666519,2.67321486666519,2.67321486666519,2.21408320833703,5.76216786562663,1.76467553179808
"6",0,4.36733692942407,0,9.12564288393902,6.63704066598579,0,9.12564288393902,2.66980851628393,9.12564288393902,7.34876709020407,8.05048177301089,9.12564288393902,7.07576454038565,0,9.12564288393902,9.12564288393902,9.12564288393902,4.46622578477015,7.07576454038565,5.6914867840759
"7",9.12564288393902,4.75830595451495,9.12564288393902,0,2.67321486666519,9.12564288393902,0,6.45583436765509,0,1.77687579373495,1.77982519248028,0,4.8152194150373,9.12564288393902,0,0,0,4.88729807500223,4.8152194150373,4.13882018141527
"8",2.66980851628393,1.69752841314013,2.66980851628393,6.45583436765509,3.96723214970186,2.66980851628393,6.45583436765509,0,6.45583436765509,4.67895857392013,5.38067325672696,6.45583436765509,5.73499640753369,2.66980851628393,6.45583436765509,6.45583436765509,6.45583436765509,1.79641726848621,5.73499640753369,3.02167826779196
"9",9.12564288393902,4.75830595451495,9.12564288393902,0,2.67321486666519,9.12564288393902,0,6.45583436765509,0,1.77687579373495,1.77982519248028,0,4.8152194150373,9.12564288393902,0,0,0,4.88729807500223,4.8152194150373,4.13882018141527
"10",7.34876709020407,2.98143016078,7.34876709020407,1.77687579373495,2.36398902820587,7.34876709020407,1.77687579373495,4.67895857392013,1.77687579373495,0,3.10246318404677,1.77687579373495,3.39817883742076,7.34876709020407,1.77687579373495,1.77687579373495,1.77687579373495,4.43057454509058,3.39817883742076,4.12866456000395
"11",8.05048177301089,4.63891610759938,8.05048177301089,1.77982519248028,2.36921237103766,8.05048177301089,1.77982519248028,5.38067325672696,1.77982519248028,3.10246318404677,0,1.77982519248028,6.50064202146752,8.05048177301089,1.77982519248028,1.77982519248028,1.77982519248028,3.58425598824075,6.50064202146752,2.358994988935
"12",9.12564288393902,4.75830595451495,9.12564288393902,0,2.67321486666519,9.12564288393902,0,6.45583436765509,0,1.77687579373495,1.77982519248028,0,4.8152194150373,9.12564288393902,0,0,0,4.88729807500223,4.8152194150373,4.13882018141527
"13",7.07576454038565,5.38924241678425,7.07576454038565,4.8152194150373,5.76216786562663,7.07576454038565,4.8152194150373,5.73499640753369,4.8152194150373,3.39817883742076,6.50064202146752,4.8152194150373,0,7.07576454038565,4.8152194150373,4.8152194150373,4.8152194150373,6.83838680109483,0,7.5268433974247
"14",0,4.36733692942407,0,9.12564288393902,6.63704066598579,0,9.12564288393902,2.66980851628393,9.12564288393902,7.34876709020407,8.05048177301089,9.12564288393902,7.07576454038565,0,9.12564288393902,9.12564288393902,9.12564288393902,4.46622578477015,7.07576454038565,5.6914867840759
"15",9.12564288393902,4.75830595451495,9.12564288393902,0,2.67321486666519,9.12564288393902,0,6.45583436765509,0,1.77687579373495,1.77982519248028,0,4.8152194150373,9.12564288393902,0,0,0,4.88729807500223,4.8152194150373,4.13882018141527
"16",9.12564288393902,4.75830595451495,9.12564288393902,0,2.67321486666519,9.12564288393902,0,6.45583436765509,0,1.77687579373495,1.77982519248028,0,4.8152194150373,9.12564288393902,0,0,0,4.88729807500223,4.8152194150373,4.13882018141527
"17",9.12564288393902,4.75830595451495,9.12564288393902,0,2.67321486666519,9.12564288393902,0,6.45583436765509,0,1.77687579373495,1.77982519248028,0,4.8152194150373,9.12564288393902,0,0,0,4.88729807500223,4.8152194150373,4.13882018141527
"18",4.46622578477015,1.44914438431058,4.46622578477015,4.88729807500223,2.21408320833703,4.46622578477015,4.88729807500223,1.79641726848621,4.88729807500223,4.43057454509058,3.58425598824075,4.88729807500223,6.83838680109483,4.46622578477015,4.88729807500223,4.88729807500223,4.88729807500223,0,6.83838680109483,1.22526099930575
"19",7.07576454038565,5.38924241678425,7.07576454038565,4.8152194150373,5.76216786562663,7.07576454038565,4.8152194150373,5.73499640753369,4.8152194150373,3.39817883742076,6.50064202146752,4.8152194150373,0,7.07576454038565,4.8152194150373,4.8152194150373,4.8152194150373,6.83838680109483,0,7.5268433974247
"20",5.6914867840759,2.28835935484067,5.6914867840759,4.13882018141527,1.76467553179808,5.6914867840759,4.13882018141527,3.02167826779196,4.13882018141527,4.12866456000395,2.358994988935,4.13882018141527,7.5268433974247,5.6914867840759,4.13882018141527,4.13882018141527,4.13882018141527,1.22526099930575,7.5268433974247,0
