pop1,pop2,prpshrd
4,65,0.2420147
4,66,0.2264094
4,67,0.2480985
4,68,0.2266954
4,69,0.2375612
4,70,0.2390477
4,71,0.2335623
4,72,0.1736265
4,73,0.2174046
4,74,0.2276712
4,75,0.2317515
4,76,0.2288407
4,78,0.2262933
5,6,0.2290755
5,7,0.246247
5,8,0.2438542
5,9,0.2335583
5,10,0.2413793
5,11,0.2349976
5,12,0.236543
5,13,0.2221558
5,14,0.239633
5,15,0.2435005
5,16,0.2221568
5,17,0.2383799
5,18,0.2549142
5,19,0.2268851
5,20,0.2286897
5,21,0.2435543
5,22,0.238
5,23,0.2245771
5,24,0.2318113
5,25,0.2374901
5,26,0.2286672
5,27,0.2342077
5,28,0.2335794
5,29,0.1891189
5,31,0.2359345
5,32,0.23619
5,33,0.2290339
5,34,0.2463491
5,35,0.2315467
5,36,0.2397377
5,37,0.2224872
5,38,0.2494642
5,39,0.2451157
5,40,0.2482176
5,41,0.2567877
5,42,0.2365163
5,43,0.234262
5,44,0.2351338
5,45,0.2342245
5,46,0.245257
5,47,0.2342366
5,48,0.2528619
5,49,0.2456911
5,50,0.2247107
5,51,0.2272372
5,52,0.2371788
5,53,0.2408657
5,54,0.2370486
5,55,0.2483112
5,56,0.2382506
5,57,0.2490828
5,58,0.246234
5,59,0.2403297
5,60,0.2389394
5,61,0.2445776
5,62,0.2425921
5,63,0.2353208
5,64,0.2323742
5,65,0.2369698
5,66,0.2279004
5,67,0.2442744
5,68,0.2375283
5,69,0.2318834
5,70,0.2363138
5,71,0.2311065
5,72,0.2434046
5,73,0.2332163
5,74,0.2425874
5,75,0.232691
5,76,0.2433829
5,78,0.238533
6,7,0.2474227
6,8,0.2388024
6,9,0.2409554
6,10,0.153402
6,11,0.2397755
6,12,0.2356182
6,13,0.2279393
6,14,0.2402451
6,15,0.2383752
6,16,0.2348029
6,17,0.2415809
6,18,0.241178
6,19,0.2398048
6,20,0.2407445
6,21,0.2440378
6,22,0.2441312
6,23,0.2340213
6,24,0.2355195
6,25,0.2290959
6,26,0.2297633
6,27,0.2389259
6,28,0.2376057
6,29,0.2294588
6,31,0.2354383
6,32,0.2314137
6,33,0.2340907
6,34,0.238017
6,35,0.2318071
6,36,0.2313666
6,37,0.22859
6,38,0.2410103
6,39,0.2412005
6,40,0.2381251
6,41,0.2397179
6,42,0.2419702
6,43,0.2326562
6,44,0.2386251
6,45,0.2352441
6,46,0.2403937
6,47,0.2326458
6,48,0.2336425
6,49,0.239925
6,50,0.2367709
6,51,0.2365772
6,52,0.2465926
6,53,0.2417625
6,54,0.189043
6,55,0.2449035
6,56,0.2453428
6,57,0.2479875
6,58,0.2396674
6,59,0.2414095
6,60,0.2414083
6,61,0.2383115
6,62,0.2447273
6,63,0.2403005
6,64,0.2381093
6,65,0.2397012
6,66,0.233408
6,67,0.2513558
6,68,0.2400632
6,69,0.2394332
6,70,0.2411967
6,71,0.2391117
6,72,0.2429835
6,73,0.2429305
6,74,0.2344164
6,75,0.2384666
6,76,0.2441502
6,78,0.238994
7,8,0.228931
7,9,0.2325863
7,10,0.239784
7,11,0.2390834
7,12,0.2298896
7,13,0.2217591
7,14,0.1447036
7,15,0.2418003
7,16,0.2376111
7,17,0.2159164
7,18,0.2482886
7,19,0.2301971
7,20,0.1908088
7,21,0.23644
7,22,0.2333236
7,23,0.2199611
7,24,0.2308821
7,25,0.2269737
7,26,0.2232765
7,27,0.2386585
7,28,0.1940623
7,29,0.2242666
7,31,0.2417351
7,32,0.224288
7,33,0.2415646
7,34,0.2303696
7,35,0.233119
7,36,0.2303169
7,37,0.2266639
7,38,0.2047109
7,39,0.2109375
7,40,0.1829177
7,41,0.2466159
7,42,0.1387531
7,43,0.2193202
7,44,0.1955305
7,45,0.2303305
7,46,0.2201904
7,47,0.2372571
7,48,0.2413937
7,49,0.230677
7,50,0.2208665
7,51,0.2312057
7,52,0.2348195
7,53,0.2378894
7,54,0.2351752
7,55,0.2351037
7,56,0.2377338
7,57,0.2323084
7,58,0.2371718
7,59,0.2511643
7,60,0.2419648
7,61,0.248191
7,62,0.2334974
7,63,0.1541921
7,64,0.2402078
7,65,0.2332381
7,66,0.2320841
7,67,0.238826
7,68,0.2241323
7,69,0.2304465
7,70,0.23575
7,71,0.2341021
7,72,0.1357644
7,73,0.2026443
7,74,0.2179382
7,75,0.231304
7,76,0.2335344
7,78,0.2314362
8,9,0.2361534
8,10,0.2204461
8,11,0.2301056
8,12,0.2124206
8,13,0.2049192
8,14,0.2391964
8,15,0.2359413
8,16,0.2255056
8,17,0.2259798
8,18,0.2342498
8,19,0.2298277
8,20,0.2234351
8,21,0.2360146
8,22,0.2256627
8,23,0.2153074
8,24,0.2233599
8,25,0.2234055
8,26,0.2222351
8,27,0.2251854
8,28,0.2263714
8,29,0.2304025
8,31,0.2374033
8,32,0.2167749
8,33,0.2328104
8,34,0.206428
8,35,0.2234003
8,36,0.2376409
8,37,0.2246924
8,38,0.2285761
8,39,0.224056
8,40,0.2292994
8,41,0.2465779
8,42,0.2223854
8,43,0.2329517
8,44,0.2286374
8,45,0.2245453
8,46,0.238133
8,47,0.2292574
8,48,0.2436709
8,49,0.2238993
8,50,0.2472277
8,51,0.2246644
8,52,0.2395699
8,53,0.248021
8,54,0.2390136
8,55,0.2334351
8,56,0.23393
8,57,0.2363218
8,58,0.2456119
8,59,0.2329377
8,60,0.24045
8,61,0.234169
8,62,0.2284243
8,63,0.2398692
8,64,0.2320709
8,65,0.2334141
8,66,0.2410932
8,67,0.242651
8,68,0.2379742
8,69,0.2212786
8,70,0.2329892
8,71,0.2368576
8,72,0.2396642
8,73,0.2239234
8,74,0.2375827
8,75,0.2340014
8,76,0.2387809
8,78,0.1305096
9,10,0.242408
9,11,0.2307484
9,12,0.2200191
9,13,0.2229385
9,14,0.2336295
9,15,0.2402271
